"","id","architecture","evaluated","loss","metric","saved_model"
"34","100","nnnn/nnnn/nnnn/nnn","TRUE","0.0670896490414937","0.980952381520044","nnnn_nnnn_nnnn_nnn-100"
"24","115","nnnn/nnnn/nnn","TRUE","0.0683949804022199","0.971428571996235","nnnn_nnnn_nnn-115"
"2","123","nnnn/nnnn/nnnn/nnn","TRUE","0.0687570762066614","0.980952381520044","nnnn_nnnn_nnnn_nnn-123"
"54","126","nnnn/nnn/nnn","TRUE","0.0661757585548219","0.980952381520044","nnnn_nnn_nnn-126"
"81","129","nnnn/nnnn/nnnn/nnn","TRUE","0.0587957569531032","0.980952381520044","nnnn_nnnn_nnnn_nnn-129"
"71","136","nnnn/nnnn/nnn","TRUE","0.0686255117257436","0.980952381520044","nnnn_nnnn_nnn-136"
"1","138","nnnn/nnnn/nnn","TRUE","0.0659606162990843","0.980952380952381","nnnn_nnnn_nnn-138"
"52","150","nnnn/nnnn/nnn","TRUE","0.0637439030976523","0.990476190476191","nnnn_nnnn_nnn-150"
"75","192","nnnn/nnnn/nnnn/nnn","TRUE","0.0661048832393828","0.971428572563898","nnnn_nnnn_nnnn_nnn-192"
"84","193","nnnn/nnnn/nnn","TRUE","0.0655192444721858","0.980952381520044","nnnn_nnnn_nnn-193"
"61","199","nnnn/nnnn/nnn","TRUE","0.0688092868952524","0.971428572563898","nnnn_nnnn_nnn-199"
"21","203","nnnn/nnnn/nnnn/nnn","TRUE","0.0615279461656298","0.980952381520044","nnnn_nnnn_nnnn_nnn-203"
"51","214","nnnn/nnnn/nnnn/nnn","TRUE","0.0665092672620501","0.971428572563898","nnnn_nnnn_nnnn_nnn-214"
"22","227","nnnn/nnnn/nnnn/nnn","TRUE","0.0629226133936927","0.980952381520044","nnnn_nnnn_nnnn_nnn-227"
"4","237","nnnn/nnnn/nnnn/nnn","TRUE","0.0646463043632961","0.971428571996235","nnnn_nnnn_nnnn_nnn-237"
"41","245","nnnn/nnnn/nnn","TRUE","0.0672549821081616","0.971428571996235","nnnn_nnnn_nnn-245"
"7","248","nnnn/nnnn/nnn","TRUE","0.0678117610159374","0.971428572563898","nnnn_nnnn_nnn-248"
"33","33","nnnn/nnnn/nnn","TRUE","0.0642531715688251","0.961904762472425","nnnn_nnnn_nnn-33"
"5","5","nnnn/nnnn/nnn","TRUE","0.0617359926303228","0.980952381520044","nnnn_nnnn_nnn-5"
"82","57","nnnn/nnn/nnn","TRUE","0.0673382990417026","0.980952381520044","nnnn_nnn_nnn-57"
"8","65","nnnn/nnnn/nn/nnn/nnn","TRUE","0.0680445847057161","0.971428572563898","nnnn_nnnn_nn_nnn_nnn-65"
"53","78","nnnn/nnnn/nnn","TRUE","0.06788287290505","0.980952381520044","nnnn_nnnn_nnn-78"
"72","80","nnnn/nnnn/nnn","TRUE","0.0651429568018232","0.971428571996235","nnnn_nnnn_nnn-80"
"6","87","nnnn/nnnn/nnnn/nnn","TRUE","0.0631918522573653","0.980952381520044","nnnn_nnnn_nnnn_nnn-87"
"3","92","nnnn/nnnn/nnn","TRUE","0.0606843304066431","0.980952381520044","nnnn_nnnn_nnn-92"
