"","id","architecture","evaluated","loss","metric","saved_model"
"31","108","nnnn/nnn/nnn","TRUE","0.042784241232134","0.980952380952381","nnnn_nnn_nnn-108"
"2","123","nnnn/nnnn/nnn","TRUE","0.0446921369149571","0.990476190476191","nnnn_nnnn_nnn-123"
"33","140","nnnn/nnnnn/nnn","TRUE","0.0452158612509569","0.990476190476191","nnnn_nnnnn_nnn-140"
"7","144","nnnn/nnnnn/nnn","TRUE","0.0445842043984504","0.990476190476191","nnnn_nnnnn_nnn-144"
"22","147","nnnn/nnnnn/nnn","TRUE","0.0447137241739602","0.980952380952381","nnnn_nnnnn_nnn-147"
"6","151","nnnn/nnnnn/nnn","TRUE","0.0461403089619818","0.990476190476191","nnnn_nnnnn_nnn-151"
"1","154","nnnn/nnnnn/nnn","TRUE","0.0477819530736832","0.980952381520044","nnnn_nnnnn_nnn-154"
"41","157","nnnn/nnnn/nnn","TRUE","0.0411911376885005","0.980952380952381","nnnn_nnnn_nnn-157"
"21","171","nnnn/nnn/nnn","TRUE","0.041502747046096","0.980952380952381","nnnn_nnn_nnn-171"
"81","177","nnnn/nnnn/nnn","TRUE","0.0473498754558109","0.980952381520044","nnnn_nnnn_nnn-177"
"19","19","nnnn/nnn/nnn","TRUE","0.0463622379870642","0.980952380952381","nnnn_nnn_nnn-19"
"74","192","nnnn/nnnnn/nnn","TRUE","0.0470032071783429","0.971428571996235","nnnn_nnnnn_nnn-192"
"42","197","nnnn/nnnn/nnn","TRUE","0.0479199132749013","0.980952381520044","nnnn_nnnn_nnn-197"
"63","199","nnnn/nnn/nnn","TRUE","0.0482442480467615","0.980952380952381","nnnn_nnn_nnn-199"
"11","202","nnnn/nnnn/nnn","TRUE","0.0470848089882306","0.980952380952381","nnnn_nnnn_nnn-202"
"62","239","nnnn/nnn/nnn","TRUE","0.0477185260327089","0.980952380952381","nnnn_nnn_nnn-239"
"71","240","nnnn/nnnnn/nnn","TRUE","0.0466784909367561","0.990476190476191","nnnn_nnnnn_nnn-240"
"4","245","nnnn/nnnn/nnn","TRUE","0.0458488673681305","0.971428571996235","nnnn_nnnn_nnn-245"
"43","253","nnnn/nnn/nnn","TRUE","0.0460150633894262","0.990476190476191","nnnn_nnn_nnn-253"
"65","255","nnnn/nnnn/nnn","TRUE","0.0445310875063851","0.980952380952381","nnnn_nnnn_nnn-255"
"27","27","nnnn/nnn/nnn","TRUE","0.0459996410069012","0.990476190476191","nnnn_nnn_nnn-27"
"23","51","nnnn/nnnnn/nnn","TRUE","0.0465222989519437","0.980952381520044","nnnn_nnnnn_nnn-51"
"64","71","nnnn/nnnn/nnn","TRUE","0.0450363855276789","0.971428571996235","nnnn_nnnn_nnn-71"
"5","86","nnnn/nnnnn/nnn","TRUE","0.0465444621585664","0.980952380952381","nnnn_nnnnn_nnn-86"
"73","88","nnnn/nnnnn/nnn","TRUE","0.0460329808649563","0.971428571996235","nnnn_nnnnn_nnn-88"
