"","id","architecture","evaluated","loss","metric","saved_model"
"2","107","nnnn/nnn/nnn","TRUE","0.0518973302273523","0.990476191043854","nnnn_nnn_nnn-107"
"5","118","nnnn/nnn/nnn","TRUE","0.0531866451104482","0.980952381520044","nnnn_nnn_nnn-118"
"62","135","nnnn/nnn/nnn","TRUE","0.0507686938558306","0.971428571996235","nnnn_nnn_nnn-135"
"13","138","nnnn/nnn/nnn","TRUE","0.0541279755887531","0.990476191043854","nnnn_nnn_nnn-138"
"21","155","nnnn/nnnn/nnn","TRUE","0.0506371242659433","0.990476191043854","nnnn_nnnn_nnn-155"
"61","167","nnnn/nnnn/nnn","TRUE","0.049400300071353","0.980952381520044","nnnn_nnnn_nnn-167"
"33","172","nnnn/nnnn/nnn","TRUE","0.0525295135520753","0.990476191043854","nnnn_nnnn_nnn-172"
"84","177","nnnn/nnnn/nnn","TRUE","0.0516736618110112","0.990476191043854","nnnn_nnnn_nnn-177"
"25","179","nnnn/nnn/nnn","TRUE","0.0448568779797781","0.971428571996235","nnnn_nnn_nnn-179"
"32","188","nnnn/nnnn/nnn","TRUE","0.0537941654523214","0.971428572563898","nnnn_nnnn_nnn-188"
"34","204","nnnn/nnnn/nnn","TRUE","0.0535562742324103","0.980952381520044","nnnn_nnnn_nnn-204"
"35","220","nnnn/nnnn/nnn","TRUE","0.0486169113999321","0.980952381520044","nnnn_nnnn_nnn-220"
"1","234","nnnn/nnnn/nnn","TRUE","0.0515674111388979","0.990476191043854","nnnn_nnnn_nnn-234"
"36","236","nnnn/nnn/nnn","TRUE","0.0511918763319651","0.990476191043854","nnnn_nnn_nnn-236"
"41","237","nnnn/nnn/nnn","TRUE","0.0506867258321671","0.990476191043854","nnnn_nnn_nnn-237"
"6","239","nnnn/nnn/nnn","TRUE","0.0531438535168057","0.990476191043854","nnnn_nnn_nnn-239"
"71","240","nnnn/nnn/nnn","TRUE","0.0536832475946063","0.971428571996235","nnnn_nnn_nnn-240"
"3","252","nnnn/nnnn/nnn","TRUE","0.0542242140997024","0.980952381520044","nnnn_nnnn_nnn-252"
"42","45","nnnn/nnn/nnn","TRUE","0.0532946461722964","0.980952381520044","nnnn_nnn_nnn-45"
"81","49","nnnn/nnn/nnn","TRUE","0.0528743939740317","0.971428571996235","nnnn_nnn_nnn-49"
"43","53","nnnn/nnn/nnn","TRUE","0.0521082475071862","0.980952381520044","nnnn_nnn_nnn-53"
"82","57","nnnn/nnnn/nnn","TRUE","0.0540011156172979","0.980952381520044","nnnn_nnnn_nnn-57"
"83","65","nnnn/nnn/nnn","TRUE","0.0500810719671703","0.971428571996235","nnnn_nnn_nnn-65"
"11","66","nnnn/nnnn/nnn","TRUE","0.0500194637548356","0.980952381520044","nnnn_nnnn_nnn-66"
"7","72","nnnn/nnn/nnn","TRUE","0.0537312572910672","0.980952381520044","nnnn_nnn_nnn-72"
