"","id","architecture","evaluated","loss","metric","saved_model"
"43","109","nnnn/nnnnn/nnn","TRUE","0.0518407996566523","0.980952380952381","nnnn_nnnnn_nnn-109"
"71","112","nnnn/nnn/nnnn/nnnnn/nnn/nnnn/nnnnn/nnn","TRUE","0.0516074619078565","0.980952380952381","nnnn_nnn_nnnn_nnnnn_nnn_nnnn_nnnnn_nnn-112"
"81","129","nnnn/nnn/nnn/nnnnn/nnn/nnn/nnnnn/nnn","TRUE","0.0491435800235541","0.980952380952381","nnnn_nnn_nnn_nnnnn_nnn_nnn_nnnnn_nnn-129"
"44","133","nnnn/nn/nn/nnnnn/nn/nn/nnnnn/nnn","TRUE","0.0474030127793196","0.980952380952381","nnnn_nn_nn_nnnnn_nn_nn_nnnnn_nnn-133"
"21","147","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.048371406263184","0.990476190476191","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-147"
"45","149","nnnn/nnnnn/nnn","TRUE","0.0523218783860405","0.980952380952381","nnnn_nnnnn_nnn-149"
"52","158","nnnn/nnnnn/nnn","TRUE","0.052093817666173","0.980952380952381","nnnn_nnnnn_nnn-158"
"3","164","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0521557199613502","0.980952380952381","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-164"
"46","165","nnnn/nnn/nnn/nnnnn/nnn/nnn/nnnnn/nnn","TRUE","0.0492988056392365","0.980952380952381","nnnn_nnn_nnn_nnnnn_nnn_nnn_nnnnn_nnn-165"
"6","167","nnnn/nnn/nnn","TRUE","0.049673651078982","0.980952380952381","nnnn_nnn_nnn-167"
"74","168","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0480255526246592","0.980952380952381","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-168"
"61","175","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0470930191821286","0.990476190476191","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-175"
"64","183","nnnn/nnn/nnn/nnnnn/nnn/nnn/nnnnn/nnn","TRUE","0.0495219209741446","0.990476190476191","nnnn_nnn_nnn_nnnnn_nnn_nnn_nnnnn_nnn-183"
"2","203","nnnn/nnnnn/nnn","TRUE","0.0495492898726038","0.980952380952381","nnnn_nnnnn_nnn-203"
"4","205","nnnn/nnnnn/nnn","TRUE","0.0494924349289033","0.980952380952381","nnnn_nnnnn_nnn-205"
"7","224","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0523828859396634","0.990476190476191","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-224"
"8","233","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0505250128817612","0.980952380952381","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-233"
"33","236","nnnn/nnn/nnn/nnn/nnn/nnn/nnn/nnn","TRUE","0.0515681393444538","0.980952380952381","nnnn_nnn_nnn_nnn_nnn_nnn_nnn_nnn-236"
"62","239","nnnn/nnnnn/nnn","TRUE","0.0522359535098076","0.980952380952381","nnnn_nnnnn_nnn-239"
"5","246","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0512685427930029","0.980952380952381","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-246"
"75","248","nnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnn","TRUE","0.0525110691674941","0.980952380952381","nnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnnnn_nnn-248"
"53","70","nnnn/nnn/nnn","TRUE","0.0502871445202756","0.980952380952381","nnnn_nnn_nnn-70"
"73","80","nnnn/nnn/nnnn/nnnnn/nnn/nnnn/nnnnn/nnn","TRUE","0.0525269731879234","0.990476190476191","nnnn_nnn_nnnn_nnnnn_nnn_nnnn_nnnnn_nnn-80"
"42","85","nnnn/nnnnn/nnn","TRUE","0.0511620354838669","0.980952380952381","nnnn_nnnnn_nnn-85"
"72","96","nnnn/nnnnn/nnn","TRUE","0.0500898301557061","0.980952380952381","nnnn_nnnnn_nnn-96"
