"","id","architecture","evaluated","loss","metric","saved_model"
"34","100","nnnn/nn/nnn","TRUE","0.0600939350823561","0.971428571428571","nnnn_nn_nnn-100"
"6","103","nnnn/nnnn/nnn","TRUE","0.0606337196770168","0.990476190476191","nnnn_nnnn_nnn-103"
"32","116","nnnn/nnn/nnn","TRUE","0.0613319654549871","0.990476190476191","nnnn_nnn_nnn-116"
"53","126","nnnn/nnn/nnn","TRUE","0.0609011633055551","0.980952380952381","nnnn_nnn_nnn-126"
"54","134","nnnn/nnn/nnn","TRUE","0.0631270341220356","0.971428571996235","nnnn_nnn_nnn-134"
"81","153","nnnn/nnnnn/nnn","TRUE","0.053427623567127","0.990476190476191","nnnn_nnnnn_nnn-153"
"11","162","nnnn/nnnnn/nnn","TRUE","0.0577813310282571","0.990476190476191","nnnn_nnnnn_nnn-162"
"55","166","nnnn/nnnnn/nnn","TRUE","0.0602396952254432","0.990476190476191","nnnn_nnnnn_nnn-166"
"31","180","nnnn/nnnn/nnn","TRUE","0.0568761486382712","0.990476190476191","nnnn_nnnn_nnn-180"
"41","181","nnnn/nnnnn/nnn","TRUE","0.0609157048520588","0.980952380952381","nnnn_nnnnn_nnn-181"
"42","189","nnnn/nnnnn/nnnn/nnnnn/nnn","TRUE","0.0615042859599704","0.980952380952381","nnnn_nnnnn_nnnn_nnnnn_nnn-189"
"83","193","nnnn/nnnn/nnn","TRUE","0.06240396967956","0.980952380952381","nnnn_nnnn_nnn-193"
"3","204","nnnn/nnnn/nnnn/nnnnn/nnn","TRUE","0.0617841184139252","0.980952380952381","nnnn_nnnn_nnnn_nnnnn_nnn-204"
"61","207","nnnn/nnnn/nnn","TRUE","0.0615331205583754","0.980952380952381","nnnn_nnnn_nnn-207"
"72","208","nnnn/nnn/nnn","TRUE","0.0572466078968275","0.990476190476191","nnnn_nnn_nnn-208"
"51","222","nnnn/nnn/nnn","TRUE","0.0616799003311566","0.990476190476191","nnnn_nnn_nnn-222"
"7","224","nnnn/nnnn/nnn","TRUE","0.0606989346799396","0.980952380952381","nnnn_nnnn_nnn-224"
"52","230","nnnn/nnnnn/nnn","TRUE","0.0590673830537569","0.990476190476191","nnnn_nnnnn_nnn-230"
"2","251","nnnn/nnnnn/nnn","TRUE","0.0500337714595454","0.990476190476191","nnnn_nnnnn_nnn-251"
"71","256","nnnn/nnnn/nnn","TRUE","0.0625173037960416","0.990476190476191","nnnn_nnnn_nnn-256"
"84","257","nnnn/nnnn/nnn","TRUE","0.0615357205271721","0.990476190476191","nnnn_nnnn_nnn-257"
"82","73","nnnn/nnnn/nnn","TRUE","0.0602031338782538","0.990476190476191","nnnn_nnnn_nnn-73"
"43","85","nnnn/nnnn/nnn","TRUE","0.0627048737946011","0.990476190476191","nnnn_nnnn_nnn-85"
"33","92","nnnn/nnnn/nnn","TRUE","0.0568151163203376","0.980952380952381","nnnn_nnnn_nnn-92"
"44","93","nnnn/n/nnnn/nnnnn/nnn","TRUE","0.0577122483579885","0.990476190476191","nnnn_n_nnnn_nnnnn_nnn-93"
