"","id","architecture","evaluated","loss","metric","saved_model"
"10","10","nnnn/nnnnn/nnn","TRUE","0.050890654910888","0.980952380952381","nnnn_nnnnn_nnn-10"
"1","106","nnnn/nnnnnnn/nnn","TRUE","0.0553232116358621","0.971428571428571","nnnn_nnnnnnn_nnn-106"
"54","118","nnnn/nnnn/nnn","TRUE","0.0491101609099479","0.980952380952381","nnnn_nnnn_nnn-118"
"21","123","nnnn/nnnn/nnn","TRUE","0.05212611289961","0.990476190476191","nnnn_nnnn_nnn-123"
"3","124","nnnn/nnnn/nnn","TRUE","0.0532894081303052","0.980952380952381","nnnn_nnnn_nnn-124"
"62","127","nnnn/nnnnn/nnn","TRUE","0.0530124491524129","0.980952380952381","nnnn_nnnnn_nnn-127"
"7","136","nnnn/nnnnn/nnn","TRUE","0.0422867669768277","0.990476190476191","nnnn_nnnnn_nnn-136"
"8","145","nnnn/nnnnn/nnn","TRUE","0.0527453850067797","0.980952380952381","nnnn_nnnnn_nnn-145"
"23","155","nnnn/nnnnn/nnn","TRUE","0.0515612211965379","0.980952380952381","nnnn_nnnnn_nnn-155"
"4","157","nnnn/nnnnn/nnn","TRUE","0.0420819384533735","0.990476190476191","nnnn_nnnnn_nnn-157"
"31","164","nnnn/nnnnn/nnn","TRUE","0.0546921266331559","0.990476190476191","nnnn_nnnnn_nnn-164"
"64","167","nnnn/nnnnn/nnn","TRUE","0.0556978495702857","0.980952380952381","nnnn_nnnnn_nnn-167"
"32","180","nnnn/nnnnn/nnn","TRUE","0.054398444685198","0.980952380952381","nnnn_nnnnn_nnn-180"
"63","183","nnnn/nnnnn/nnn","TRUE","0.0527990604795161","0.990476190476191","nnnn_nnnnn_nnn-183"
"72","184","nnnn/nnnnn/nnn","TRUE","0.0454193588523638","0.980952380952381","nnnn_nnnnn_nnn-184"
"5","198","nnnn/nnnnn/nnn","TRUE","0.0501445370770636","0.980952380952381","nnnn_nnnnn_nnn-198"
"61","199","nnnn/nnnnn/nnn","TRUE","0.0520963497814678","0.980952380952381","nnnn_nnnnn_nnn-199"
"22","211","nnnn/nnnnn/nnn","TRUE","0.0490327953582718","1","nnnn_nnnnn_nnn-211"
"33","220","nnnn/nnnnn/nnn","TRUE","0.0516640443887029","0.980952380952381","nnnn_nnnnn_nnn-220"
"24","227","nnnn/nnnnn/nnn","TRUE","0.0553763535405908","0.980952380952381","nnnn_nnnnn_nnn-227"
"81","241","nnnn/nnnnn/nnn","TRUE","0.0556394886757646","0.971428571428571","nnnn_nnnnn_nnn-241"
"83","257","nnnn/nnnnn/nnn","TRUE","0.0539561436999412","0.980952380952381","nnnn_nnnnn_nnn-257"
"2","59","nnnn/nnnn/nnn","TRUE","0.0512456633327972","0.990476190476191","nnnn_nnnn_nnn-59"
"82","81","nnnn/nnnn/nnn","TRUE","0.0552928346253577","0.980952380952381","nnnn_nnnn_nnn-81"
"6","87","nnnn/nnnnn/nnn","TRUE","0.0473368749199879","0.980952380952381","nnnn_nnnnn_nnn-87"
