"","id","architecture","evaluated","loss","metric","saved_model"
"34","100","nnnn/nnnnn/nnnnn/nnnn/nnn","TRUE","0.0524482049402736","0.980952380952381","nnnn_nnnnn_nnnnn_nnnn_nnn-100"
"41","125","nnnn/nnnnn/nnn","TRUE","0.0535806913461004","0.980952381520044","nnnn_nnnnn_nnn-125"
"65","127","nnnn/nnnnn/nnn","TRUE","0.0527465850114822","0.961904762472425","nnnn_nnnnn_nnn-127"
"42","133","nnnn/nnnnn/nnn","TRUE","0.0541575156507038","0.971428571996235","nnnn_nnnnn_nnn-133"
"72","152","nnnn/nnnnn/nnn","TRUE","0.0516828962025188","0.980952380952381","nnnn_nnnnn_nnn-152"
"62","167","nnnn/nnnnn/nnn","TRUE","0.0532954169171197","0.971428571996235","nnnn_nnnnn_nnn-167"
"8","169","nnnn/nnnnn/nnn","TRUE","0.0533371803306398","0.980952381520044","nnnn_nnnnn_nnn-169"
"3","188","nnnn/nnnnn/nnn","TRUE","0.0513325215805145","0.980952381520044","nnnn_nnnnn_nnn-188"
"52","198","nnnn/nnnnn/nnn","TRUE","0.0515790433401153","0.971428571996235","nnnn_nnnnn_nnn-198"
"64","199","nnnn/nnnnn/nnn","TRUE","0.052541723989305","0.980952381520044","nnnn_nnnnn_nnn-199"
"73","200","nnnn/nnnnn/nnn","TRUE","0.0492105030942531","0.980952380952381","nnnn_nnnnn_nnn-200"
"74","208","nnnn/nnnnn/nnn","TRUE","0.0546131229116803","0.980952381520044","nnnn_nnnnn_nnn-208"
"45","213","nnnn/nnnnn/nnn","TRUE","0.0533201601533663","0.980952381520044","nnnn_nnnnn_nnn-213"
"1","218","nnnn/nnnnn/nnn","TRUE","0.0530409999546551","0.980952381520044","nnnn_nnnnn_nnn-218"
"11","234","nnnn/nnnnn/nnn","TRUE","0.053681859657878","0.980952381520044","nnnn_nnnnn_nnn-234"
"4","237","nnnn/nnnnn/nnn","TRUE","0.0544070678097861","0.980952381520044","nnnn_nnnnn_nnn-237"
"2","251","nnnn/nnnnn/nnn","TRUE","0.0541539339792161","0.980952381520044","nnnn_nnnnn_nnn-251"
"6","47","nnnn/nnnnn/nnn","TRUE","0.0542373691286359","0.980952381520044","nnnn_nnnnn_nnn-47"
"63","63","nnnn/nnnnn/nnn","TRUE","0.0537271420160929","0.980952381520044","nnnn_nnnnn_nnn-63"
"51","70","nnnn/nnnnn/nnnnn/nnnn/nnn","TRUE","0.0537228679373151","0.971428571996235","nnnn_nnnnn_nnnnn_nnnn_nnn-70"
"82","73","nnnn/nnnnn/nnn","TRUE","0.0514740953842799","0.990476190476191","nnnn_nnnnn_nnn-73"
"44","77","nnnn/nnnnn/nnn","TRUE","0.0526830627804711","0.980952381520044","nnnn_nnnnn_nnn-77"
"61","79","nnnn/nnnnn/nnn","TRUE","0.05147628060409","0.980952380952381","nnnn_nnnnn_nnn-79"
"54","86","nnnn/nnnnn/nnn","TRUE","0.0529280049460275","0.990476190476191","nnnn_nnnnn_nnn-86"
"12","98","nnnn/nnnnn/nnn","TRUE","0.0537717233278922","0.990476190476191","nnnn_nnnnn_nnn-98"
