"","id","architecture","evaluated","loss","metric","saved_model"
"1","1","nnnn/nnnn/nnn","TRUE","0.0533247944144976","0.990476190476191","nnnn_nnnn_nnn-1"
"51","102","nnnn/nnnnn/nnn","TRUE","0.05242725951331","0.980952381520044","nnnn_nnnnn_nnn-102"
"7","120","nnnn/nnnn/nnn","TRUE","0.0519598735939889","0.990476190476191","nnnn_nnnn_nnn-120"
"84","121","nnnn/nnnnn/nnn","TRUE","0.0535503787653787","0.990476190476191","nnnn_nnnnn_nnn-121"
"4","125","nnnn/nnnnn/nnn","TRUE","0.0500252052432015","0.980952381520044","nnnn_nnnnn_nnn-125"
"77","128","nnnn/nnnnn/nnn","TRUE","0.0508867750565211","0.971428572563898","nnnn_nnnnn_nnn-128"
"85","137","nnnn/nnnnn/nnn","TRUE","0.0533834360894703","0.990476190476191","nnnn_nnnnn_nnn-137"
"6","143","nnnn/nnnnn/nnn","TRUE","0.0519676495166052","0.990476190476191","nnnn_nnnnn_nnn-143"
"34","148","nnnn/nnnnn/nnn","TRUE","0.0518365499519167","0.980952381520044","nnnn_nnnnn_nnn-148"
"2","163","nnnn/nnnn/nnn","TRUE","0.0497008542219798","0.990476190476191","nnnn_nnnn_nnn-163"
"72","168","nnnn/nnnnn/nnn","TRUE","0.0534989305904933","0.990476190476191","nnnn_nnnnn_nnn-168"
"82","169","nnnn/nnnn/nnn","TRUE","0.0535179038842519","0.990476190476191","nnnn_nnnn_nnn-169"
"54","190","nnnn/nnnn/nnn","TRUE","0.0518852669568289","0.980952381520044","nnnn_nnnn_nnn-190"
"61","199","nnnn/nnnn/nnn","TRUE","0.0504221457810629","0.971428572563898","nnnn_nnnn_nnn-199"
"31","228","nnnn/nnnnn/nnn","TRUE","0.0509802141359874","0.971428572563898","nnnn_nnnnn_nnn-228"
"8","241","nnnn/nnnnn/nnn","TRUE","0.053293816958155","0.990476190476191","nnnn_nnnnn_nnn-241"
"11","250","nnnn/nnnn/nnn","TRUE","0.0536525846946807","0.990476190476191","nnnn_nnnn_nnn-250"
"33","33","nnnn/nnnnn/nnn","TRUE","0.0530525386333466","0.980952381520044","nnnn_nnnnn_nnn-33"
"71","40","nnnn/nnnnn/nnn","TRUE","0.0535292418939727","0.980952381520044","nnnn_nnnnn_nnn-40"
"81","41","nnnn/nnnnn/nnn","TRUE","0.051762598327228","0.990476190476191","nnnn_nnnnn_nnn-41"
"12","42","nnnn/nnnnn/nnn","TRUE","0.0524196871689388","0.980952381520044","nnnn_nnnnn_nnn-42"
"52","54","nnnn/nnnn/nnn","TRUE","0.0518563912028358","0.980952381520044","nnnn_nnnn_nnn-54"
"5","86","nnnn/nnnnn/nnn","TRUE","0.0535894006490707","0.990476190476191","nnnn_nnnnn_nnn-86"
"75","88","nnnn/nnnn/nnn","TRUE","0.0510043402512868","0.980952381520044","nnnn_nnnn_nnn-88"
"76","96","nnnn/nnnnn/nnn","TRUE","0.0518154178346906","0.980952381520044","nnnn_nnnnn_nnn-96"
