"","id","architecture","evaluated","loss","metric","saved_model"
"32","108","nnnn/nnnnnnn/nnn","TRUE","0.0533199239522219","0.990476190476191","nnnn_nnnnnnn_nnn-108"
"52","110","nnnn/nnnnnnn/nnn","TRUE","0.0512019352898711","0.990476190476191","nnnn_nnnnnnn_nnn-110"
"72","120","nnnn/nnnnnnn/nnn","TRUE","0.0482534776796542","0.990476190476191","nnnn_nnnnnnn_nnn-120"
"21","131","nnnn/nnnnnnn/nnn","TRUE","0.055597990820007","0.990476190476191","nnnn_nnnnnnn_nnn-131"
"51","158","nnnn/nnnnnnn/nnn","TRUE","0.0517760914595177","0.990476190476191","nnnn_nnnnnnn_nnn-158"
"83","161","nnnn/nnnnnnn/nnn","TRUE","0.0555488254963642","0.980952380952381","nnnn_nnnnnnn_nnn-161"
"33","164","nnnn/nnnnnnn/nnn","TRUE","0.0521179199307447","0.980952380952381","nnnn_nnnnnnn_nnn-164"
"11","170","nnnn/nnnnn/nnn","TRUE","0.0517185067491872","0.980952380952381","nnnn_nnnnn_nnn-170"
"7","184","nnnn/nnnnnnn/nnn","TRUE","0.0534044591843017","0.990476190476191","nnnn_nnnnnnn_nnn-184"
"8","201","nnnn/nnnnnnn/nnn","TRUE","0.0516015136703139","0.990476190476191","nnnn_nnnnnnn_nnn-201"
"53","206","nnnn/nnnnn/nnn","TRUE","0.0546493360351416","0.990476190476191","nnnn_nnnnn_nnn-206"
"4","245","nnnn/nnnnnnn/nnn","TRUE","0.0526218154378945","0.990476190476191","nnnn_nnnnnnn_nnn-245"
"13","250","nnnn/nnnnn/nnn","TRUE","0.0547122056551632","0.980952380952381","nnnn_nnnnn_nnn-250"
"42","253","nnnn/nnnnnnn/nnn","TRUE","0.0559574770364201","0.990476190476191","nnnn_nnnnnnn_nnn-253"
"54","254","nnnn/nnnnnnn/nnn","TRUE","0.0525346694225889","0.990476190476191","nnnn_nnnnnnn_nnn-254"
"71","256","nnnn/nnnnnnn/nnn","TRUE","0.0447639144602276","0.990476190476191","nnnn_nnnnnnn_nnn-256"
"41","37","nnnn/nnnnnnn/nnn","TRUE","0.0515824469139001","0.980952380952381","nnnn_nnnnnnn_nnn-37"
"81","41","nnnn/nnnnnnn/nnn","TRUE","0.0494479861731331","0.990476190476191","nnnn_nnnnnnn_nnn-41"
"62","71","nnnn/nnnnnnn/nnn","TRUE","0.0537726714896659","0.990476190476191","nnnn_nnnnnnn_nnn-71"
"84","73","nnnn/nnnnnnn/nnn","TRUE","0.0390198851492079","0.990476190476191","nnnn_nnnnnnn_nnn-73"
"23","75","nnnn/nnnnnnn/nnn","TRUE","0.0545423866316144","0.990476190476191","nnnn_nnnnnnn_nnn-75"
"31","76","nnnn/nnnnn/nnn","TRUE","0.0553298302305241","0.980952380952381","nnnn_nnnnn_nnn-76"
"1","90","nnnn/nnnnn/nnn","TRUE","0.0549705250898287","0.990476190476191","nnnn_nnnnn_nnn-90"
"5","94","nnnn/nnnnnnn/nnn","TRUE","0.0525208017833176","0.990476190476191","nnnn_nnnnnnn_nnn-94"
"63","95","nnnn/nnnnnnn/nnn","TRUE","0.0553699072184307","0.980952380952381","nnnn_nnnnnnn_nnn-95"
