"","id","architecture","evaluated","loss","metric","saved_model"
"64","127","nnnn/nnnnnnn/nnn","TRUE","0.0535374442026729","0.980952380952381","nnnn_nnnnnnn_nnn-127"
"1","130","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0499873761265051","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-130"
"2","131","nnnn/nnnnnnn/nnn","TRUE","0.0449459085950539","0.980952380952381","nnnn_nnnnnnn_nnn-131"
"52","134","nnnn/nnnnnnn/nnn","TRUE","0.0566079014734853","0.980952380952381","nnnn_nnnnnnn_nnn-134"
"44","141","nnnn/nnnnnnn/nnn","TRUE","0.0483679000465643","0.980952380952381","nnnn_nnnnnnn_nnn-141"
"34","148","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0556574333370441","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-148"
"51","158","nnnn/nnnnnnn/nnn","TRUE","0.056607551642117","0.980952380952381","nnnn_nnnnnnn_nnn-158"
"83","161","nnnn/nnnnnnn/nnn","TRUE","0.057623838118854","0.980952380952381","nnnn_nnnnnnn_nnn-161"
"37","164","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0552302965096065","0.990476190476191","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-164"
"8","169","nnnn/nnnnnnn/nnn","TRUE","0.0550694415257091","0.980952380952381","nnnn_nnnnnnn_nnn-169"
"41","173","nnnn/nnnnnnn/nnn","TRUE","0.0372280632810933","0.990476190476191","nnnn_nnnnnnn_nnn-173"
"38","180","nnnn/nnnnnnn/nnn","TRUE","0.0569803295036157","0.980952380952381","nnnn_nnnnnnn_nnn-180"
"39","188","nnnn/nnnnnnn/nnn","TRUE","0.0570614383334205","0.980952380952381","nnnn_nnnnnnn_nnn-188"
"45","189","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0574860856025701","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-189"
"81","201","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0523118927099165","0.990476190476191","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-201"
"7","208","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.057255144718857","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-208"
"6","223","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0578011393192269","0.971428571428571","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-223"
"71","224","nnnn/nnnnnnn/nnn","TRUE","0.0569059237660397","0.971428571428571","nnnn_nnnnnnn_nnn-224"
"21","235","nnnn/nnnnnnn/nnn","TRUE","0.0546775565970512","0.980952380952381","nnnn_nnnnnnn_nnn-235"
"61","239","nnnn/nnnnnnn/nnn","TRUE","0.0574983001997074","0.980952380952381","nnnn_nnnnnnn_nnn-239"
"12","250","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0553414859764633","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-250"
"5","254","nnnn/nnnnnnn/nnn","TRUE","0.0543908253844295","0.980952380952381","nnnn_nnnnnnn_nnn-254"
"31","31","nnnn/nnnnnnn/nnn","TRUE","0.0566747391862529","0.980952380952381","nnnn_nnnnnnn_nnn-31"
"11","58","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn","TRUE","0.0532842175857652","0.980952380952381","nnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnn-58"
"82","81","nnnn/nnnnnnn/nnn","TRUE","0.0515954969761272","0.980952380952381","nnnn_nnnnnnn_nnn-81"
